Radio Caroline,mp3,http://sc8.radiocaroline.net:8040/;
NDR Kultur,mp3,http://icecast.ndr.de/ndr/ndrkultur/live/mp3/128/stream.mp3
New Classical FM,mp3,http://stream.abacast.net/playlist/mzmedia-cfmzfmmp3-ibc2.m3u
Czech Radio Vltava 224kbps OGG,ogg,http://amp.cesnet.cz:8000/cro3-256.ogg
Deutschlandfunk 256kbps AAC,aac,https://st01.sslstream.dlf.de/dlf/01/high/aac/stream.aac
RBB Kultur,mp3,http://rbbkultur.de/live.pls
Nativa FM,aac,http://audio.flaresoft.com.br:9330/;
